 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9995380741   0.363598   0.98675  1868.3  0.0428968 
 0.9995333402   0.367379   0.98670  1873.6  0.0431617 
 0.9995285776   0.371183   0.98665  1878.9  0.0434271 
 0.9995237863   0.375011   0.98660  1884.2  0.0436931 
 0.9995189662   0.378863   0.98655  1889.5  0.0439597 
 0.9995141172   0.382739   0.98650  1894.7  0.0442268 
 0.9995092393   0.386639   0.98645  1900.0  0.0444944 
 0.9995043325   0.390563   0.98640  1905.3  0.0447616 
 0.9994993970   0.394510   0.98635  1910.5  0.0450256 
 0.9994944329   0.398482   0.98630  1915.7  0.0452901 
 0.9994894403   0.402477   0.98625  1920.9  0.0455550 
 0.9994844190   0.406495   0.98620  1926.0  0.0458204 
 0.9994793690   0.410538   0.98615  1931.2  0.0460863 
 0.9994742903   0.414604   0.98610  1936.4  0.0463527 
 0.9994691829   0.418694   0.98605  1941.6  0.0466195 
 0.9994640466   0.422808   0.98600  1946.7  0.0468868 
 0.9994588814   0.426946   0.98595  1951.9  0.0471546 
 0.9994536873   0.431108   0.98590  1957.0  0.0474229 
 0.9994484643   0.435295   0.98585  1962.2  0.0476916 
 0.9994432123   0.439505   0.98580  1967.3  0.0479608 
 0.9994379312   0.443739   0.98575  1972.4  0.0482305 
 0.9994326210   0.447998   0.98570  1977.5  0.0485006 
 0.9994272816   0.452281   0.98565  1982.6  0.0487712 
 0.9994219131   0.456588   0.98560  1987.7  0.0490422 
 0.9994165153   0.460920   0.98555  1992.8  0.0493137 
 0.9994110883   0.465276   0.98550  1997.8  0.0495886 
 0.9994056313   0.469657   0.98545  2002.7  0.0498666 
 0.9994001444   0.474062   0.98540  2007.6  0.0501451 
 0.9993946276   0.478493   0.98535  2012.3  0.0504190 
 0.9993890815   0.482948   0.98530  2017.1  0.0506931 
 0.9993835058   0.487428   0.98525  2021.8  0.0509676 
 0.9993779005   0.491933   0.98520  2026.5  0.0512425 
 0.9993722656   0.496462   0.98515  2031.2  0.0515179 
 0.9993666010   0.501016   0.98510  2035.9  0.0517938 
 0.9993609068   0.505595   0.98505  2040.6  0.0520701 
 0.9993551828   0.510199   0.98500  2045.3  0.0523469 
 0.9993494290   0.514828   0.98495  2050.0  0.0526241 
 0.9993436454   0.519482   0.98490  2054.7  0.0529018 
 0.9993378319   0.524160   0.98485  2059.4  0.0531800 
 0.9993319886   0.528864   0.98480  2064.1  0.0534586 
 0.9993261152   0.533593   0.98475  2068.7  0.0537376 
 0.9993202118   0.538347   0.98470  2073.4  0.0540171 
 0.9993142784   0.543126   0.98465  2078.1  0.0542970 
 0.9993083149   0.547930   0.98460  2082.7  0.0545774 
 0.9993023213   0.552760   0.98455  2087.3  0.0548583 
 0.9992962975   0.557615   0.98450  2092.0  0.0551396 
 0.9992902435   0.562495   0.98445  2096.6  0.0554213 
 0.9992841592   0.567401   0.98440  2101.2  0.0557035 
 0.9992780446   0.572332   0.98435  2105.8  0.0559861 
 0.9992718997   0.577289   0.98430  2110.5  0.0562692 
 0.9992657246   0.582271   0.98425  2115.0  0.0565477 
 0.9992595197   0.587278   0.98420  2119.6  0.0568265 
 0.9992532849   0.592310   0.98415  2124.1  0.0571056 
 0.9992470202   0.597367   0.98410  2128.6  0.0573851 
 0.9992407254   0.602450   0.98405  2133.2  0.0576650 
 0.9992344007   0.607558   0.98400  2137.7  0.0579452 
 0.9992280460   0.612691   0.98395  2142.2  0.0582259 
 0.9992216611   0.617850   0.98390  2146.7  0.0585069 
 0.9992152462   0.623034   0.98385  2151.2  0.0587883 
 0.9992088011   0.628244   0.98380  2155.7  0.0590701 
 0.9992023258   0.633479   0.98375  2160.2  0.0593522 
 0.9991958203   0.638739   0.98370  2164.7  0.0596347 
 0.9991892846   0.644025   0.98365  2169.2  0.0599176 
 0.9991827186   0.649337   0.98360  2173.6  0.0602009 
 0.9991761222   0.654674   0.98355  2178.1  0.0604846 
 0.9991694956   0.660037   0.98350  2182.6  0.0607686 
 0.9991628385   0.665426   0.98345  2187.0  0.0610530 
 0.9991561510   0.670840   0.98340  2191.5  0.0613378 
 0.9991494330   0.676280   0.98335  2195.9  0.0616229 
