 # Jupiter model, Ptrans=2 Mbar, diluted core
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.3185229026  1482.787826   0.50212  14713.1  2.5437415 
 0.3156304174  1494.190511   0.50012  14754.0  2.5529230 
 0.3127506434  1505.621888   0.49812  14794.8  2.5620904 
 0.3098836695  1517.081688   0.49612  14835.6  2.5712437 
 0.3070295834  1528.569642   0.49412  14876.2  2.5803828 
 0.3041884713  1540.085482   0.49212  14916.7  2.5895076 
 0.3013604180  1551.628941   0.49012  14957.1  2.5986181 
 0.2985455072  1563.199753   0.48812  14997.5  2.6077143 
 0.2957438213  1574.797652   0.48612  15037.7  2.6167960 
 0.2929554412  1586.422373   0.48412  15077.9  2.6258633 
 0.2901804467  1598.073652   0.48212  15117.9  2.6349160 
 0.2874189161  1609.751226   0.48012  15157.8  2.6439541 
 0.2846709265  1621.454834   0.47812  15197.7  2.6529776 
 0.2819365537  1633.184214   0.47612  15237.5  2.6619865 
 0.2792158721  1644.939108   0.47412  15277.1  2.6709806 
 0.2765089549  1656.719257   0.47212  15316.7  2.6799599 
 0.2738158738  1668.524405   0.47012  15356.2  2.6889245 
 0.2711366995  1680.354297   0.46812  15395.5  2.6978741 
 0.2684715012  1692.208679   0.46612  15434.8  2.7068089 
 0.2658202803  1704.087597   0.46412  15471.8  2.7158896 
 0.2631829882  1715.991319   0.46212  15508.4  2.7249853 
 0.2605596901  1727.919602   0.46012  15544.8  2.7340669 
 0.2579504523  1739.872191   0.45812  15581.2  2.7431344 
 0.2553553398  1751.848835   0.45612  15617.4  2.7521878 
 0.2527744164  1763.849285   0.45412  15653.6  2.7612269 
 0.2502077443  1775.873293   0.45212  15689.7  2.7702518 
 0.2476553847  1787.920613   0.45012  15725.7  2.7792624 
 0.2451173975  1799.991004   0.44812  15761.6  2.7882586 
 0.2425938411  1812.084223   0.44612  15797.4  2.7972405 
 0.2400847729  1824.200031   0.44412  15833.1  2.8062080 
 0.2375902459  1836.338207   0.44212  15868.5  2.8151721 
 0.2351103018  1848.498580   0.44012  15903.8  2.8241307 
 0.2326449925  1860.680927   0.43812  15938.9  2.8330749 
 0.2301943702  1872.885019   0.43612  15974.0  2.8420046 
 0.2277584859  1885.110632   0.43412  16009.0  2.8509199 
 0.2253373894  1897.357542   0.43212  16043.9  2.8598207 
 0.2229311291  1909.625529   0.43012  16078.7  2.8687070 
 0.2205397522  1921.914378   0.42812  16113.4  2.8775788 
 0.2181633046  1934.223875   0.42612  16148.0  2.8864361 
 0.2158018307  1946.553812   0.42412  16182.6  2.8952788 
 0.2134553740  1958.903983   0.42212  16217.0  2.9041069 
 0.2111239763  1971.274187   0.42012  16251.4  2.9129205 
 0.2088076785  1983.664227   0.41812  16285.6  2.9217194 
 0.2065065200  1996.073908   0.41612  16319.8  2.9305039 
 0.2042205389  2008.503042   0.41412  16353.9  2.9392737 
 0.2019497720  2020.951444   0.41212  16387.9  2.9480290 
 0.1996942550  2033.418936   0.41012  16421.8  2.9567697 
 0.1974540222  2045.905341   0.40812  16455.7  2.9654958 
 0.1952291066  2058.410490   0.40612  16489.4  2.9742074 
 0.1930195400  2070.934218   0.40412  16523.1  2.9829045 
 0.1908253527  2083.476365   0.40212  16556.7  2.9915871 
 0.1886465741  2096.036779   0.40012  16590.2  3.0002552 
 0.1864832320  2108.615309   0.39812  16623.6  3.0089089 
 0.1843353530  2121.211816   0.39612  16656.9  3.0175481 
 0.1822029626  2133.826161   0.39412  16690.1  3.0261729 
 0.1800860848  2146.458215   0.39212  16723.3  3.0347834 
 0.1779847309  2159.107926   0.39012  16756.3  3.0434404 
